client_name,notes,subtotal_mxn,ieps_mxn,iva_mxn,total_mxn
DESERT BREW TAP,37,38590.16,55050.00,59130.00,158030.16
Desertbrewtap,12,73853.86,38793.86,68785.94,73853.86
Venta General,3,60027.99,0.00,0.00,60027.99
BEER GARDEN,6,31105.00,1710.00,1710.00,34525.00
JURASSIC FOOD & ADVENTURE,10,27111.60,513.12,6074.25,33565.93
SEDENA,5,21983.74,15388.75,17516.20,33538.69
ESTACION COYOACAN,12,19515.00,5130.00,5130.00,29775.00
Venta General Venta General,5,23662.00,0.00,0.00,23662.00
GRANDES BODEGAS,10,14122.54,4208.40,5254.47,23551.41
CASA TIYAHUI,8,9616.64,3148.80,6384.77,19112.21
